"","duration","orig_bytes","resp_bytes","orig_ip_bytes","resp_ip_bytes","http"
"64276",0.0582689081239758,6.45047042214418,6.96508034560141,6.91274282049318,7.43307534889858,1
"212422",1.76985463384001,3.71357206670431,8.32457884513685,6.05208916892442,8.40110871239544,0
"166852",5.08469088392567,7.56423847517049,7.60389796852188,8.01565761455734,8.03333401588006,1
"83079",0.00995033085316809,5.8348107370626,6.19440539110467,6.41345895716736,6.55961523749324,0
"182407",0.0295588022415444,5.72358510195238,8.32457884513685,6.5191472879404,8.39931015075952,0
"73643",0.0295588022415444,6.14418563412565,9.00589589809446,6.68210859744981,9.0505236705223,0
"93197",0.048790164169432,6.01859321449623,6.90173720665657,6.49677499018586,7.1276936993474,0
"182382",0.0861776962410524,6.54821910276237,7.68570306123455,7.06817200038804,7.84345640437612,1
"182205",0.00995132095168776,5.72358510195238,6.13556489108174,6.35262939631957,6.5191472879404,0
"71334",0.350656871613169,5.37527840768417,7.40000951716269,6.37672694789863,7.52402141520612,0
"71480",0.113328685307003,6.21660610108486,9.00380808646717,6.72503364216684,9.04852707581358,0
"92390",1.84530023615608,7.63626960337937,7.39756153552405,7.76811037852599,7.51969240411654,0
"71443",0.0582689081239758,6.1463292576689,9.00589589809446,6.68336094576627,9.05520587502619,0
"40561",0.00995033085316809,5.91889385427315,6.26909628370626,6.46146817635372,6.61204103483309,0
"72701",0.0295588022415444,6.24610676548156,9.00380808646717,6.7428806357919,9.05321861620397,0
"182318",0.173953307123438,6.52502965784346,8.67077227934454,7.05444965813294,8.74925684010501,1
"13319",0.0198026272961797,5.2257466737132,6.11809719804135,5.98645200528444,6.50128967054039,0
"71178",0.0295588022415444,6.14418563412565,9.00589589809446,6.68210859744981,9.0505236705223,0
"116330",0.73716406597672,6.37331978957701,8.27690348126706,6.73101810048208,8.33902300574476,0
"42847",0.19062035960865,6.57088296233958,7.67832635650689,7.12447826249342,7.83715965000168,1
"103562",2.19722457733622,6.06610809010375,0,6.56667242980324,0,1
"45648",0.2390169004705,4.61512051684126,0,5.05624580534831,0,1
"99696",0.00995033085316809,5.72358510195238,6.19847871649231,6.35262939631957,6.48616078894409,0
"70866",0.00995033085316809,5.03695260241363,5.70044357339069,5.90263333340137,6.15485809401642,0
"73787",0.0198026272961797,6.1527326947041,9.00380808646717,6.68710860786651,9.04852707581358,0
"73918",0.0295588022415444,6.05208916892442,9.00380808646717,6.62936325343745,9.04852707581358,0
"37041",0.0861776962410524,6.62273632394984,9.24048152888817,7.30518821539304,9.29999824390672,0
"42472",0.00995033085316809,6.14846829591765,6.15909538849193,6.60123011872888,6.53524127101366,0
"74219",0.0198026272961797,6.12029741895095,9.00380808646717,6.6682282484174,9.04852707581358,0
"86372",0.0198026272961797,5.68357976733868,7.46622755621548,6.22653666928747,7.58069975222456,0
"175490",2.64119789411437,4.85981240436167,0,5.48479693349065,0,1
"67289",0.00995033085316809,5.74620319054015,6.15060276844628,6.36475075685191,6.52941883826223,0
"167401",2.00821389816327,2.94443897916644,9.34661799026873,6.46614472423762,9.39598971886281,0
"72012",0.0769610411361284,5.39362754635236,7.17930796950403,6.06842558824411,7.32909373624659,0
"104146",2.64119789411437,5.25227342804663,0,5.80211837537706,0,1
"68040",0.00995033085316809,6.27852142416584,5.00394630594546,7.37838371299671,6.72503364216684,0
"82166",0.0198026272961797,5.6937321388027,6.14203740558736,6.33682573114644,6.52356230614951,0
"101161",0.0676586484738149,5.72358510195238,7.20785987143248,6.35262939631957,7.32251043399739,0
"84654",1.79175946922805,4.76217393479776,0,5.43372200355424,0,1
"90938",0.00995033085316809,6.07764224334903,6.89770494312864,6.53378883793334,7.09174211509515,0
"15252",0.131028262406404,5.27299955856375,6.29894924685594,6.24416690066374,6.63331843328038,0
"72236",0.0676586484738149,6.23244801655052,9.00380808646717,6.73459165997295,9.05321861620397,0
"73423",0.0198026272961797,6.18826412308259,9.00491394146713,6.65801104587075,8.6438258423496,0
"73678",0.0769610411361284,6.20859002609663,9.00589589809446,6.67076632084587,9.0505236705223,0
"72153",0.0676586484738149,6.23244801655052,9.00380808646717,6.73459165997295,9.05321861620397,0
"182705",0.0198026272961797,6.05678401322862,6.42486902390539,6.61606518513282,6.72503364216684,0
"33707",0.00995033085316809,5.92157841964382,6.30991827822652,6.46302945692067,6.57088296233958,0
"36554",0.0295588022415444,5.80513496891649,7.09340462586877,6.39692965521615,7.25841215059531,0
"72961",0.0392207131532813,6.24610676548156,9.00380808646717,6.7428806357919,9.05321861620397,0
"130315",1.79342474854712,4.46590811865458,0,4.96284463025991,0,1
"218555",0.246860077931526,6.15909538849193,7.47760424319759,6.58617165485467,7.59085212368858,0
"68110",0.0676586484738149,5.98645200528444,6.1527326947041,6.57646956904822,6.53087762772588,0
"73414",0.122217632724249,6.24804287450843,9.00491394146713,6.74405918631135,9.04958459309679,0
"30125",0.0861776962410524,5.82008293035236,6.31173480915291,6.40522845803084,6.57228254269401,0
"71772",0.00995033085316809,5.31811999384422,7.40000951716269,6.35610766069589,7.55171221535131,0
"71791",0.00995033085316809,5.4971682252932,7.40000951716269,6.42324696353352,7.55171221535131,0
"71319",0.0198026272961797,5.45958551414416,7.40000951716269,6.4085287910595,7.55171221535131,0
"12756",1.95727390770563,5.43372200355424,5.78382518232974,6.30809844150953,6.29341927884648,0
"73481",0.0392207131532813,6.22059017009974,9.00380808646717,6.72743172485086,9.04852707581358,0
"84386",0.165514438477573,5.81413053182507,7.51261754467451,6.48463523563525,7.6004023345004,0
"103388",2.64048488160644,5.28320372873799,0,5.73334127689775,0,1
"74084",0.0861776962410524,5.48479693349065,6.19644412779452,6.11589212548303,6.49677499018586,0
"32357",0.215111379616945,7.85360481309784,8.36730010184162,8.13593277200489,8.48301573961465,0
"165896",0.916290731874155,5.01727983681492,0,5.45958551414416,0,1
"40948",0.27763173659828,5.73979291217923,6.04500531403601,6.44730586254121,6.45833828334479,0
"44011",0.131028262406404,5.5834963087817,6.1463292576689,6.37331978957701,6.52649485957079,0
"71941",0.0953101798043249,6.25766758788264,9.00491394146713,6.74993119378857,9.05427118632629,0
"207909",0.00995033085316809,5.72031177660741,8.17131687471973,6.51767127291227,8.25790419346567,0
"100726",0.0198026272961797,5.17614973257383,7.40000951716269,6.30809844150953,7.55171221535131,0
"35078",0.00995033085316809,5.92157841964382,7.9355873855892,6.61338421837956,8.04398443122155,0
